event_id,alpha,est_std_return,est_n
9,0.0005583269771595701,0.014767925741968,60
10,0.0005583269771595701,0.014767925741968,60
11,1.2959678247782188e-05,0.010804757177291284,60
12,1.2959678247782188e-05,0.010804757177291284,60
13,-0.0018093621940813336,0.011172833365969422,60
14,-0.0018746498955105292,0.012357111263688976,60
15,-0.0018746498955105292,0.012357111263688976,60
16,-0.0009216222119680852,0.013589114728989011,60
17,-0.0009216222119680852,0.013589114728989011,60
18,-0.000865395759380535,0.018360662861605228,60
19,-0.002204684423887612,0.022188419471219103,60
20,-0.002204684423887612,0.022188419471219103,60
21,-0.004275871852384633,0.03377255039823344,60
22,-0.004275871852384633,0.03377255039823344,60
23,-0.005319049651296156,0.04663487131238531,60
24,-0.005319049651296156,0.04663487131238531,60
25,-0.0016325304196699929,0.039205112978014114,60
26,-0.0017949184506471213,0.036341495773754125,60
27,-0.0017949184506471213,0.036341495773754125,60
28,-0.002617080699059587,0.0341332957257474,60
29,-0.004545818465670292,0.023088560154774677,60
30,-0.004545818465670292,0.023088560154774677,60
31,0.00035930208786880965,0.02587708356158414,60
32,0.00035930208786880965,0.02587708356158414,60
33,0.0035635702113332333,0.023371238396747197,60
34,0.0028519080031774915,0.0196285685271525,60
35,0.0028519080031774915,0.0196285685271525,60
36,0.0016634911439920713,0.014258730422619605,60
37,0.0016634911439920713,0.014258730422619605,60
38,0.0022219381217812514,0.011861375695341006,60
39,0.0022219381217812514,0.011861375695341006,60
40,0.0009809034252120884,0.010110047330230954,60
41,0.0009809034252120884,0.010110047330230954,60
42,0.0009403019006694342,0.010908838055587367,60
43,0.0009403019006694342,0.010908838055587367,60
44,0.0010284230809234978,0.009821469807614443,60
45,0.0010284230809234978,0.009821469807614443,60
46,0.0006959288237275502,0.009444624684539125,60
47,0.0006959288237275502,0.009444624684539125,60
48,0.00167479552965158,0.008067444035286291,60
49,0.00167479552965158,0.008067444035286291,60
50,0.001305557542601935,0.008567991741454797,60
51,0.001305557542601935,0.008567991741454797,60
52,-0.0006545528566786185,0.01539925764964461,60
53,-0.0006545528566786185,0.01539925764964461,60
54,-3.386615913452343e-05,0.016292983755920983,60
55,-3.386615913452343e-05,0.016292983755920983,60
56,8.72826286407281e-05,0.012470790338905868,60
57,8.72826286407281e-05,0.012470790338905868,60
58,0.0009306099898370702,0.01121634815969,60
59,0.0008622591747661255,0.00971221683668044,60
60,0.0008622591747661255,0.00971221683668044,60
61,0.0016241732591855637,0.008490195771263297,60
62,0.0016241732591855637,0.008490195771263297,60
63,0.0015465232110969012,0.006820722248104375,60
64,0.0015465232110969012,0.006820722248104375,60
65,0.0010751922007070194,0.006781575060786756,60
66,0.0010751922007070194,0.006781575060786756,60
67,0.00028060830668664137,0.008348532874309287,60
68,0.00028060830668664137,0.008348532874309287,60
69,0.00011245029605532816,0.00735059933822793,60
70,0.00011245029605532816,0.00735059933822793,60
71,-0.0001313258079147201,0.008807935317294091,60
72,-0.000612315252941445,0.00914333703343455,60
73,-0.000612315252941445,0.00914333703343455,60
74,-0.001345726224217699,0.020483738511171107,60
75,-0.001345726224217699,0.020483738511171107,60
76,-0.0007670951497318233,0.02328380842367999,60
77,-0.0007670951497318233,0.02328380842367999,60
78,0.0005365873579847853,0.01828954575382072,60
79,0.0014226349692659868,0.018168248334993153,60
80,0.0014226349692659868,0.018168248334993153,60
81,0.0011160331527940031,0.015140546719589924,60
82,0.0011160331527940031,0.015140546719589924,60
83,0.0013461126551034478,0.00808270315999408,60
84,0.0013461126551034478,0.00808270315999408,60
85,0.0009289860153221433,0.007220147009309343,60
86,0.0009289860153221433,0.007220147009309343,60
87,-0.0009775495282261164,0.009149779099982956,60
88,-0.0009775495282261164,0.009149779099982956,60
89,-0.0007910280507077348,0.009926099256509939,60
90,-0.0007910280507077348,0.009926099256509939,60
91,0.001161937888207035,0.008456539466248188,60
92,0.001161937888207035,0.008456539466248188,60
93,0.0012410204760970672,0.006876198293508629,60
94,0.0012410204760970672,0.006876198293508629,60
95,-0.000294341861578061,0.007683553459700767,60
96,-0.000294341861578061,0.007683553459700767,60
97,0.0006691771985440861,0.008182866376559869,60
98,0.0006691771985440861,0.008182866376559869,60
99,0.0013873785249379812,0.007271251374191976,60
100,0.0013873785249379812,0.007271251374191976,60
101,0.0008202657407907384,0.0075419140877921,60
102,0.0008202657407907384,0.0075419140877921,60
103,0.0006844759075270328,0.007773743939081911,60
104,0.0006844759075270328,0.007773743939081911,60
105,0.0011216696894276704,0.007944101179320637,60
106,0.0011216696894276704,0.007944101179320637,60
107,0.000576568648372019,0.007150566470766836,60
108,0.000576568648372019,0.007150566470766836,60
109,-0.0002701322806474227,0.0059440624555667995,60
110,0.0006719910973788633,0.006951534441450801,60
111,0.0006719910973788633,0.006951534441450801,60
112,0.001000428082645064,0.00652085010091195,60
113,0.001000428082645064,0.00652085010091195,60
114,0.0009047268168466901,0.005661064563853453,60
115,0.0009047268168466901,0.005661064563853453,60
116,0.0004121570079842183,0.007452571830153354,60
117,0.0007801748036130564,0.007462248317385354,60
118,0.0007801748036130564,0.007462248317385354,60
119,0.0008109128790704076,0.007894388872696952,60
120,0.0008109128790704076,0.007894388872696952,60
121,0.0009642487092603417,0.006306330780692477,60
122,0.0009642487092603417,0.006306330780692477,60
123,0.0010412551878548383,0.004721852551007375,60
124,0.0010412551878548383,0.004721852551007375,60
125,0.0004440622420771401,0.005385109402709042,60
126,0.0004440622420771401,0.005385109402709042,60
127,-0.00031997734885709587,0.008297937388445604,60
128,-0.00031997734885709587,0.008297937388445604,60
129,0.0006239683359915171,0.00804838171375126,60
130,0.0006239683359915171,0.00804838171375126,60
131,0.0008056275319052633,0.00815532149406647,60
132,0.0008056275319052633,0.00815532149406647,60
133,0.00014757419230104432,0.009365298888438808,60
134,0.00014757419230104432,0.009365298888438808,60
135,0.0003653136050584375,0.007758447886489076,60
136,0.0003653136050584375,0.007758447886489076,60
137,0.00021571752044181828,0.006537777704548317,60
138,0.00021571752044181828,0.006537777704548317,60
139,1.1958583173994807e-05,0.006949579929877387,60
140,1.1958583173994807e-05,0.006949579929877387,60
141,-0.0011792736115261327,0.012989186321767546,60
142,-0.0011792736115261327,0.012989186321767546,60
143,-0.00029987945340529055,0.013758231480773386,60
144,-0.00029987945340529055,0.013758231480773386,60
145,0.0009177533217829784,0.00951975660796069,60
146,0.0009177533217829784,0.00951975660796069,60
147,-0.0011765607002645249,0.010893751984083495,60
148,-0.0011765607002645249,0.010893751984083495,60
149,-0.0005659183048702759,0.012665681740455006,60
150,-0.0005659183048702759,0.012665681740455006,60
151,0.0016139891357928725,0.0097113048961165,60
152,0.0016139891357928725,0.0097113048961165,60
153,0.0007252634653110342,0.005914726579822407,60
154,0.0007252634653110342,0.005914726579822407,60
155,0.00056561511982255,0.008640118034253458,60
156,0.00056561511982255,0.008640118034253458,60
157,0.00044306927949147275,0.008726237636163458,60
158,0.00044306927949147275,0.008726237636163458,60
159,-0.0002138815921177985,0.006250592644751772,60
160,-0.0002138815921177985,0.006250592644751772,60
161,0.0004056225196114073,0.00607058048273567,60
162,0.0004056225196114073,0.00607058048273567,60
163,0.000748425982749727,0.0054174454828147455,60
164,0.0008817385358274786,0.005546226020324976,60
165,0.0009812090571703303,0.005288331215614993,60
166,0.0010329436640408953,0.005262810039808266,60
167,0.0010611127961351434,0.0052711221666091905,60
168,0.0010611127961351434,0.0052711221666091905,60
169,0.0010935533633978682,0.004234451040799871,60
170,0.0010961249969569564,0.004185909954692295,60
171,0.0010961249969569564,0.004185909954692295,60
172,0.0009188657929909033,0.0041948697322770085,60
173,0.0009188657929909033,0.0041948697322770085,60
174,0.0008840914001801165,0.004064508171456281,60
175,0.0007373070916938016,0.004069843907948554,60
176,0.0007373070916938016,0.004069843907948554,60
177,0.0007909042432180765,0.0043183362997013894,60
178,0.0005700134679364066,0.004086557447488651,60
179,0.0006685653194515368,0.0044935967038308355,60
180,0.0006685653194515368,0.0044935967038308355,60
181,0.0007849806632638869,0.004404572844636096,60
182,0.00020042817165801793,0.0049533377490148765,60
183,0.000393818165404133,0.004669389130635194,60
184,0.000393818165404133,0.004669389130635194,60
185,0.0006172610410393246,0.004234299256269398,60
186,0.0005905193127492748,0.004231202708902472,60
187,0.0003949629202733247,0.0044738866845146046,60
188,0.0007758604895465452,0.004682683873029059,60
189,0.0007758604895465452,0.004682683873029059,60
190,0.00021808703230984892,0.004716212442435709,60
191,0.0002512198603428905,0.0048503610851274035,60
192,0.0004282509640142073,0.005114707489204979,60
193,0.0004282509640142073,0.005114707489204979,60
194,0.00046826975198571393,0.00492970162878811,60
195,0.0004975060763287535,0.004559118177981022,60
196,0.0005269836500427604,0.004576707476642766,60
197,0.0007537308006503402,0.004360374319237094,60
198,0.0006771443413963169,0.00432709842220831,60
199,0.0006088769052156864,0.00431173181489301,60
200,0.0005115063868014845,0.004279325454990132,60
201,0.0006537942343480465,0.004331149144139441,60
202,0.0006537942343480465,0.004331149144139441,60
203,0.000535126293311408,0.0043784911138375435,60
204,0.0006337823743721963,0.004494981201418116,60
205,0.0009216155237935647,0.0032037654064328075,60
206,0.0009216155237935647,0.0032037654064328075,60
207,0.0017434051173987031,0.00402803838262479,60
208,0.0017434051173987031,0.00402803838262479,60
209,0.0003709104981525183,0.007763659056923465,60
210,0.0006292625190389617,0.010964081385235434,60
211,0.0006292625190389617,0.010964081385235434,60
212,-0.0004332830683423349,0.012560298493924846,60
213,-0.0014432560587891426,0.01363766890876153,60
214,-0.0014432560587891426,0.01363766890876153,60
215,-0.0010602536800196143,0.013681777425875735,60
216,0.00011558928269928745,0.010731609554028186,60
217,-0.0002274500465350562,0.010113372683350075,60
218,-0.0002274500465350562,0.010113372683350075,60
219,0.00020967339076643398,0.010120762381527116,60
220,0.0009138992196310551,0.005852390275904271,60
221,0.0009138992196310551,0.005852390275904271,60
222,0.0006964013146862033,0.005684643046931243,60
223,0.0008803669800332949,0.005073760168743804,60
224,0.0008803669800332949,0.005073760168743804,60
225,0.0011315704967156698,0.004692401231892639,60
226,0.0012015586087610265,0.004594339472883201,60
227,-0.0008781501853475615,0.00941103756055936,60
228,-0.0008781501853475615,0.00941103756055936,60
229,-0.0011022049493670098,0.010506246827714377,60
230,-0.0016930611478885862,0.010664884845476723,60
231,-0.0013101434181030513,0.010898667176890961,60
232,-0.0016144668668596133,0.012507874962249244,60
233,-0.0016144668668596133,0.012507874962249244,60
234,-0.0006687304820775199,0.015478231024363322,60
235,-0.0006687304820775199,0.015478231024363322,60
